DATE,FEDFUNDS
1 01 1980,12.50666667
1 04 1980,12.44666667
1 07 1980,10.34666667
1 10 1980,11.78
1 01 1981,13
1 04 1981,13.62333333
1 07 1981,14
1 10 1981,13.04333333
1 01 1982,12
1 04 1982,12
1 07 1982,10.83
1 10 1982,9.253333333
1 01 1983,8.5
1 04 1983,8.5
1 07 1983,8.5
1 10 1983,8.5
1 01 1984,8.5
1 04 1984,8.956666667
1 07 1984,9
1 10 1984,8.733333333
1 01 1985,8
1 04 1985,7.77
1 07 1985,7.5
1 10 1985,7.5
1 01 1986,7.366666667
1 04 1986,6.61
1 07 1986,5.826666667
1 10 1986,5.5
1 01 1987,5.5
1 04 1987,5.5
1 07 1987,5.65
1 10 1987,6
1 01 1988,6
1 04 1988,6
1 07 1988,6.29
1 10 1988,6.5
1 01 1989,6.696666667
1 04 1989,7
1 07 1989,7
1 10 1989,7
1 01 1990,7
1 04 1990,7
1 07 1990,7
1 10 1990,6.93
1 01 1991,6.166666667
1 04 1991,5.66
1 07 1991,5.4
1 10 1991,4.563333333
1 01 1992,3.5
1 04 1992,3.5
1 07 1992,3.006666667
1 10 1992,3
1 01 1993,3
1 04 1993,3
1 07 1993,3
1 10 1993,3
1 01 1994,3
1 04 1994,3.246666667
1 07 1994,3.753333333
1 10 1994,4.383333333
1 01 1995,5.083333333
1 04 1995,5.25
1 07 1995,5.25
1 10 1995,5.25
1 01 1996,5.08
1 04 1996,5
1 07 1996,5
1 10 1996,5
1 01 1997,5
1 04 1997,5
1 07 1997,5
1 10 1997,5
1 01 1998,5
1 04 1998,5
1 07 1998,5
1 10 1998,4.663333333
1 01 1999,4.5
1 04 1999,4.5
1 07 1999,4.603333333
1 10 1999,4.87
1 01 2000,5.193333333
1 04 2000,5.736666667
1 07 2000,6
1 10 2000,6
1 01 2001,5.11
1 04 2001,3.826666667
1 07 2001,3.06
1 10 2001,1.643333333
1 01 2002,1.25
1 04 2002,1.25
1 07 2002,1.25
1 10 2002,0.943333333
1 01 2003,2.25
1 04 2003,2.166666667
1 07 2003,2
1 10 2003,2
1 01 2004,2
1 04 2004,2.083333333
1 07 2004,2.5
1 10 2004,3
1 01 2005,3.5
1 04 2005,4
1 07 2005,4.5
1 10 2005,5
1 01 2006,5.583333333
1 04 2006,6
1 07 2006,6.25
1 10 2006,6.25
1 01 2007,6.25
1 04 2007,6.25
1 07 2007,5.75
1 10 2007,4.916666667
1 01 2008,3.166666667
1 04 2008,2.25
1 07 2008,2.25
1 10 2008,1
1 01 2009,0.5
1 04 2009,0.5
1 07 2009,0.5
1 10 2009,0.5
1 01 2010,0.666666667
1 04 2010,0.75
1 07 2010,0.75
1 10 2010,0.75
1 01 2011,0.75
1 04 2011,0.75
1 07 2011,0.75
1 10 2011,0.75
1 01 2012,0.75
1 04 2012,0.75
1 07 2012,0.75
1 10 2012,0.75
1 01 2013,0.75
1 04 2013,0.75
1 07 2013,0.75
1 10 2013,0.75
1 01 2014,0.75
1 04 2014,0.75
1 07 2014,0.75
1 10 2014,0.75
1 01 2015,0.75
1 04 2015,0.75
1 07 2015,0.75
1 10 2015,0.833333333
1 01 2016,1
1 04 2016,1
1 07 2016,1
1 10 2016,1.083333333
1 01 2017,1.333333333
1 04 2017,1.583333333
1 07 2017,1.75
1 10 2017,1.833333333
1 01 2018,2.083333333
1 04 2018,2.333333333
1 07 2018,2.583333333
1 10 2018,2.833333333
1 01 2019,3
1 04 2019,3
1 07 2019,2.75
1 10 2019,2.25
1 01 2020,1.583333333
1 04 2020,0.25
1 07 2020,0.25
1 10 2020,0.25
1 01 2021,0.25
1 04 2021,0.25
1 07 2021,0.25
1 10 2021,0.25
1 01 2022,0.333333333
1 04 2022,1.083333333
1 07 2022,2.75
1 10 2022,3.916666667
